o,h,l,c,volume
1.13604,1.13733,1.13434,1.13515,12786
1.13517,1.13571,1.1336,1.13533,12131
1.13532,1.1366399999999999,1.13456,1.136,13003
1.13602,1.1389799999999999,1.1354600000000001,1.13802,17841
1.138,1.13944,1.13666,1.1372200000000001,17809
1.1372,1.1377,1.1350200000000001,1.13709,16038
1.1370799999999999,1.1386,1.13372,1.13418,23066
1.13416,1.13588,1.12966,1.1306100000000001,25661
1.13059,1.13277,1.13032,1.13162,17555
1.1316,1.13311,1.12858,1.12944,17123
1.12942,1.13025,1.1274899999999999,1.13004,15510
1.13005,1.1307399999999999,1.12792,1.12808,4194
1.12808,1.12961,1.12781,1.12932,636
1.1293600000000001,1.131,1.12876,1.13089,1690
1.13087,1.13235,1.13002,1.13141,1917
1.13142,1.13256,1.13018,1.1318700000000002,3840
1.13188,1.13286,1.1309799999999999,1.1324,3465
1.13242,1.13284,1.13162,1.13246,2509
1.13248,1.13386,1.13194,1.13295,3109
1.13294,1.13388,1.1328200000000002,1.13376,2010
1.1337700000000002,1.1351799999999999,1.13374,1.1351,3182
1.1350799999999999,1.1365399999999999,1.13442,1.13638,7499
1.1364,1.13667,1.1327,1.1328799999999999,15482
1.13286,1.13334,1.13093,1.13134,15327
1.13133,1.1333600000000001,1.13015,1.1304,13361
1.13039,1.13291,1.13038,1.1327,10738
1.1327200000000002,1.13391,1.1323,1.13291,9662
1.1329200000000001,1.13516,1.13256,1.13391,13274
1.13392,1.1352,1.13309,1.1345,11692
1.13448,1.13485,1.13068,1.1307,14919
1.13069,1.1309200000000001,1.12575,1.12802,17096
1.128,1.12809,1.12604,1.12687,12952
1.12686,1.12886,1.12667,1.12847,11757
1.12846,1.1288,1.1271799999999998,1.1281700000000001,10072
1.12818,1.12829,1.1268799999999999,1.12729,11637
1.1272799999999998,1.12798,1.12686,1.12697,2383
1.12697,1.12697,1.12511,1.12605,574
1.12601,1.12666,1.12547,1.1259,1289
1.12591,1.1263100000000001,1.12544,1.12616,1257
1.12614,1.12764,1.12596,1.12716,2026
1.12715,1.1333799999999998,1.12666,1.13194,10825
1.13192,1.13319,1.13059,1.1321299999999999,6040
1.13212,1.13212,1.13078,1.1313,2443
1.13131,1.13134,1.12856,1.1296,3613
1.12962,1.12992,1.12914,1.12932,2044
1.12932,1.1297700000000002,1.12856,1.12926,4740
1.1292799999999998,1.13198,1.1289200000000001,1.13119,12842
1.13117,1.1313,1.1254,1.12676,13176
1.12678,1.12779,1.12374,1.12445,9914
1.12446,1.12458,1.12274,1.12337,9599
1.1233600000000001,1.1243,1.12116,1.12373,8773
1.12374,1.13015,1.11981,1.1215700000000002,25419
1.12155,1.1253600000000001,1.1210799999999999,1.12392,17786
1.1239,1.1239,1.11312,1.11446,26995
1.11448,1.1148799999999999,1.10804,1.10819,25390
1.10818,1.1164399999999999,1.10554,1.1146,21949
1.11458,1.11964,1.1144399999999999,1.11856,19769
1.11858,1.12168,1.1163399999999999,1.11776,12113
1.11778,1.12021,1.1170799999999999,1.11808,7936
